end-of-line eol endline line-end end-of-string new-line end-line linefeed carriage-return line-feed cr+lf crlf cr-lf end-of-record end-of-text end-of-message line-ending newline line-continuation end-of-data #13#10

filehelpers csvhelper opencsv filehelper epplus npoi exceldatareader csvreader dotnetzip supercsv linqtoexcel closedxml textfieldparser linqtocsv touchxml boost.serialization ical4j google-gson sevenzipsharp fasterflect js-xlsx

transitions transition animations transistions animation transistion tweens keyframes navigations animations. transition. transtions rotations transtion gradients backgrounds transitions. transitioning cross-fade sprites sliding

autoboxing auto-boxing unboxing boxing auto-unboxing autounboxing erasure downcasting upcasting type-erasure widening varargs autobox typecasting coercion generics type-casting asinstanceof un-boxing pass-by-reference outboxing

getdirectories getfiles directory.getdirectories enumeratefiles directory.enumeratefiles directory.getfiles directoryinfo.getfiles enumeratedirectories getaccesscontrol findfirst searchoption.alldirectories directoryinfo.getdirectories directory.exists directory.enumeratedirectories listfiles file.listfiles getfullpath type.getmethods directory.getparent createdirectory readalltext

userscripts bookmarklets tampermonkey scriptish userscript greasemonkey ietab flashblock user-scripts ninjakit add-ons userjs mozzila addon-sdk webextension webkits selenium-ide unsafewindow content-scripts firefox. vimperator

webmethods web-services webservices pagemethods webmethod web-api asmx pagemethod webapi webapis scriptmethods webserivce web-method wfc web-service webservice wcf-service datacontracts web.api wcf lists.asmx

coords co-ordinates coordinates cordinates co-ords cords coordiantes coodinates coord coordinates. coordinate coordonates cooridnates positions coordinations co-ordinate coordenates coordinats latlong latlng corrdinates

prefix suffix prefixes suffixes prefixed prefix. wildcard sufix namespace _ role_ tilde preffix l_ postfixes 0o 0x colon prefixing my_ given-prefix

sparse-matrix csr_matrix scipy.sparse linear-algebra coo_matrix alglib bignum cordic coo pardiso priority-queue matrix-vector karatsuba out-of-core sparse highly-optimized 15-puzzle multi-precision clpq lookup-table radix-2

sleep sleeping thread.sleep sleeps time.sleep pause delay usleep idle wait settimeout timer timeout waitfor suspend msleep wake sleep. doevents wakeup sdl_delay

bytecode byte-code bytecodes il cil msil jit opcodes asm machine-code ast assembler ptx classfile classfiles llvm-ir p-code bytecode. bytcode .class dalvik

roslyn codedom dlr rosyln nrefactory mono.cecil ndepend cecil fsharp sharpdevelop f# ryujit websharper script# csc.exe csharpcodeprovider razorengine pex c#6 reflection.emit aot

gmaps4rails gmap4rails google-maps-for-rails geokit gmaps mapbox.js jvectormap chartkick globalize3 angular-google-maps rails3-jquery-autocomplete google-api-client googlemaps leaflet.js geokit-rails meta_search twitter-bootstrap-rails acts-as-taggable-on gmap3 google-maps country_select

findall find_all .findall findone finditer findbyid findby find_one findindex find_by findrecord findoneby re.findall list.find find_by_id .contains .filter getall findquery matcher#find binarysearch

localized localised internationalized localizable non-localized human-readable locale-specific localization spanish german untranslated localize unlocalized non-english arabic danish french culture-specific persian user-visible resx

aliases alias synonyms aliasses identifiers wildcards aliases. column-names mappings typedefs prefixes abbreviations namespaces names hostnames keywords definitions placeholders shorthands predicates suffixes

relationships relations associations relationship relation association entities foreignkeys models realtionship relationships. realtion mappings schemas fks realtionships relationsships relatioship releationship realtions many-to-many

html5 html-5 hmtl5 htm5 css3 html4 video-tag fileapi htlm5 non-html5 webgl xhtml5 smil xhtml html5. w3c non-flash videojs flash-based createjs webstorage

webdeploy msdeploy sqlpackage msdeploy.exe octopack web-deploy octopus sqlpackage.exe cc.net cspack webpi tfs2010 ccnet slowcheetah wspbuilder clickonce click-once chocolatey dacpac webmatrix cruisecontrol.net

linkedhashset linkedhashmap treeset sortedset priorityqueue hashset treemap sortedlist sortedmap sorteddictionary copyonwritearraylist collections.ordereddict concurrenthashmap multimap linkedlist concurrentskiplistset concurrentskiplistmap listiterator weakhashmap sparsearray hashtable

themes skins theme styles plugins theme. templates widgets layouts stylesheets theming fonts icons bartik sub-themes plug-ins menus valo addons skin theme.i

windows-1252 cp1252 latin-1 iso-8859-1 gbk cp850 shift-jis iso-8859-15 cp-1252 utf-16le windows-1250 latin1 windows-1251 macroman cp1250 iso-8859-2 gb2312 cp437 iso8859-1 iso-8859 cp1251

segments regions segements polygons segment planes triangles rectangles vertices slices arcs curves sections chunks parts pieces vertexes clusters frames areas ranges

pprint pprint.pprint repr textwrap shlex __import__ configparser importlib.import_module json.dumps prettytable dumper binascii urlparse difflib pydoc clojure.pprint __builtin__ timeit text.printf sys.stdout.write debug.trace

mpmovieplayercontroller mpmovieplayerviewcontroller avplayer mpmovieplayer avplayerviewcontroller avaudioplayer movieplayer uiimagepickercontroller avcapturesession mpmusicplayercontroller avqueueplayer avplayerlayer avaudiorecorder videoview uipopovercontroller avcapturevideopreviewlayer avplayeritem mpmoviecontroller avcapturevideodataoutput audioplayer mpvolumeview

zxing zbar xzing mupdf zxing.net barcodescanner opencv4android actionbarsherlock card.io scandit vitamio barcode4j zxingobjc artoolkit tess-two javacv libstreaming twitter4j pjsip openimaj socialauth

tween tweening tweens animation keyframe tweenmax tweenlite sprite animator cakeyframeanimation translateanimation timelinelite cabasicanimation lerp movieclip transition timelinemax rotateanimation projectile objectanimator doubleanimation

createjs easeljs pixi.js fabric.js tweenjs kineticjs paper.js raphaeljs pixi kinetic.js phaser fabricjs starling pixijs svg.js snap.svg paperjs tweenmax gsap away3d flashpunk

